gene,fst,log2fold
Mcavernosa24107,0.15446969,1.610049889
Mcavernosa00924,0.036487121,-0.320569045
Mcavernosa00931,0.102997991,0.773459164
Mcavernosa00932,0.048969765,-0.473431875
Mcavernosa00935,0,1.203699558
Mcavernosa00945,0,0.39209887
Mcavernosa00952,0.043478261,0.071885641
Mcavernosa00953,0,-0.602234327
Mcavernosa00956,0.032923559,-1.5158141
Mcavernosa00961,0,0.663755905
Mcavernosa00965,0.046511628,-0.06169849
Mcavernosa00971,0.04,-0.171829128
Mcavernosa00987,0,0.89243378
Mcavernosa00988,0.047788202,-0.210591592
Mcavernosa01006,0.04,0.058729281
Mcavernosa01009,0.0390625,-0.399185104
Mcavernosa24099,0.154905978,0.628514668
Mcavernosa07235,0.154914577,0.564075864
Mcavernosa19339,0.155216204,1.112172055
Mcavernosa01047,0.037037037,0.12856513
Mcavernosa01061,0.033467416,-0.222864005
Mcavernosa01063,0.148004519,-1.110707828
Mcavernosa25577,0.156015496,-1.284122764
Mcavernosa01078,0.037593985,0.124718478
Mcavernosa01081,0.128593219,-0.248428984
Mcavernosa01093,0,-0.134676366
Mcavernosa01115,0.036336453,-0.177272253
Mcavernosa01118,0,0.440423429
Mcavernosa01123,0.044444444,0.205076596
Mcavernosa07874,0.155322671,1.348101251
Mcavernosa01142,0.043209877,-0.061488184
Mcavernosa01158,0.04,0.27223437
Mcavernosa01164,0.105409195,-0.036608751
Mcavernosa01171,0.044117647,-0.381664022
Mcavernosa03554,0.155326928,0.085567355
Mcavernosa01183,0.035332562,0.296105131
Mcavernosa01188,0.03571573,0.097894662
Mcavernosa01208,0.040268456,0.127511995
Mcavernosa01217,0.045454545,-0.97676048
Mcavernosa01225,0.045454545,0.008775835
Mcavernosa01227,0,0.130399418
Mcavernosa01240,0,-0.516574535
Mcavernosa01245,0.087485135,0.08064197
Mcavernosa17896,0.155486354,0.49712199
Mcavernosa29985,0.15550471,0.968681516
Mcavernosa01262,0.039215686,-0.463555017
Mcavernosa20339,0.155733695,1.034604687
Mcavernosa01274,0,-0.51430411
Mcavernosa13698,0.156018819,-0.850976859
Mcavernosa01285,0.04229798,0.617956535
Mcavernosa01287,0,0.9442999
Mcavernosa01289,0,-0.149849016
Mcavernosa01297,0.045454545,-0.207185739
Mcavernosa01313,0,0.826774271
Mcavernosa01322,0,0.436106653
Mcavernosa01329,0,-0.223780979
Mcavernosa01330,0.106020052,0.1521911
Mcavernosa01331,0.041666667,0.131299715
Mcavernosa01349,0.082992057,-0.164715146
Mcavernosa01350,0.037735849,-0.41547074
Mcavernosa01351,0.043478261,-0.342336294
Mcavernosa01355,0.049079755,-0.483676211
Mcavernosa01357,0.037037037,0.293562987
Mcavernosa01361,0.102388232,0.287570911
Mcavernosa01375,0.115429994,-0.130966618
Mcavernosa01380,0.078046773,1.807182761
Mcavernosa01381,0.049382716,-1.542853461
Mcavernosa01383,0.099712629,-0.055320777
Mcavernosa15477,0.155777744,1.335050068
Mcavernosa01409,0.036211084,0.14903253
Mcavernosa01412,0.101657512,0.030056045
Mcavernosa01424,0.076206345,0.028569044
Mcavernosa01431,0.077093305,1.025017636
Mcavernosa01441,0.032692791,-0.009202344
Mcavernosa01446,0.039473684,-0.178388946
Mcavernosa01450,0.038461538,0.443067232
Mcavernosa01470,0.043478261,-0.057805805
Mcavernosa01478,0.040816327,0.581375324
Mcavernosa01479,0.037717284,0.375415674
Mcavernosa01499,0,-0.182998414
Mcavernosa01500,0.034482759,0.23502574
Mcavernosa01502,0.086106451,-0.103548713
Mcavernosa01527,0.038461538,0.450446998
Mcavernosa08986,0.156221946,-1.02827712
Mcavernosa01562,0.037037037,-0.399545026
Mcavernosa03557,0.155785106,1.463624129
Mcavernosa01581,0.021544838,-0.965161592
Mcavernosa01582,0.0375,0.399396926
Mcavernosa01583,0.020119617,1.396826291
Mcavernosa01592,0.038461538,0.126672626
Mcavernosa01604,0.033707865,0.060902915
Mcavernosa01611,0.043478261,-1.491160675
Mcavernosa01614,0,-0.719460978
Mcavernosa01617,0,-0.16101186
Mcavernosa01626,0.039278408,0.505512264
Mcavernosa01630,0.077350883,0.135391306
Mcavernosa07744,0.156113559,1.148988533
Mcavernosa24001,0.156251354,-0.401903799
Mcavernosa01664,0,0.346653295
Mcavernosa01667,0.032544379,0.280249172
Mcavernosa01686,0.03930513,0.517360895
Mcavernosa01695,0.035087719,0.239289702
Mcavernosa31762,0.156257013,-0.105767284
Mcavernosa01705,0,-2.644864292
Mcavernosa01716,0.04,0.206302998
Mcavernosa01718,0.032258065,0.660473679
Mcavernosa01730,0,0.31479715
Mcavernosa05806,0.156301364,-0.257204147
Mcavernosa01750,0.031911025,0.414869704
Mcavernosa01757,0.030900575,0.496195264
Mcavernosa01758,0.042253521,-0.037931603
Mcavernosa01761,0,0.418864025
Mcavernosa01762,0,0.008744262
Mcavernosa01775,0.096903254,-0.745620231
Mcavernosa02592,0.156133727,0.582555073
Mcavernosa09997,0.156304472,-0.495120287
Mcavernosa01800,0.028571429,-0.662164373
Mcavernosa02332,0.156305968,-0.278861557
Mcavernosa01809,0,0.419713549
Mcavernosa01820,0.041368763,-0.677132244
Mcavernosa01825,0.011023951,-0.100207747
Mcavernosa01829,0.0364759,-1.175798498
Mcavernosa01837,0.025,0.533062961
Mcavernosa01838,0.034252711,0.463683606
Mcavernosa01851,0.006758385,-0.028488721
Mcavernosa01858,0.062225324,-1.713880912
Mcavernosa01873,0.054393305,-0.864435276
Mcavernosa01882,0.098014547,0.211091494
Mcavernosa01887,0.042857143,0.157953111
Mcavernosa01889,0.03960396,0.168094784
Mcavernosa01891,0.043478261,-0.018060682
Mcavernosa01893,0.067898981,0.344429621
Mcavernosa01911,0.035335689,0.133556152
Mcavernosa01913,0.048165138,0.273921629
Mcavernosa04355,0.156301416,0.380997458
Mcavernosa01938,0.038461538,-0.79507179
Mcavernosa01940,0.04513952,0.632405592
Mcavernosa01947,0.035722269,-0.191894909
Mcavernosa17655,0.15630777,1.338689283
Mcavernosa28073,0.156350261,1.223559827
Mcavernosa01978,0.047396382,0.437011814
Mcavernosa01985,0,-0.566494502
Mcavernosa01986,0,0.443861559
Mcavernosa01987,0.046357616,0.178475242
Mcavernosa01996,0.044147269,-0.71744955
Mcavernosa01999,0.034439608,-0.017540016
Mcavernosa02003,0.034457841,0.215092395
Mcavernosa02006,0.043478261,0.307146833
Mcavernosa02012,0,-0.360629606
Mcavernosa02023,0.061866126,-0.73044808
Mcavernosa17654,0.156873935,-0.607768523
Mcavernosa02043,0.038720539,0.36031673
Mcavernosa02048,0.03581401,-0.924185052
Mcavernosa02053,0.045454545,-0.392023525
Mcavernosa02057,0.076932821,-0.170012207
Mcavernosa02080,0.034947622,0.090368663
Mcavernosa02102,0.035106812,-0.803223076
Mcavernosa02111,0.036697248,0.162204091
Mcavernosa21571,0.156915623,-0.304753616
Mcavernosa09651,0.156365339,0.837412014
Mcavernosa02143,0.10806263,0.56090199
Mcavernosa02148,0.031653789,0.549521692
Mcavernosa02151,0,-0.303349846
Mcavernosa13225,0.157099651,-0.483728098
Mcavernosa02160,0.03125,-0.48380053
Mcavernosa02164,0,0.002762623
Mcavernosa02165,0.035714286,-0.612162315
Mcavernosa02173,0.03570127,-0.02731025
Mcavernosa02193,0.051792829,0.416053364
Mcavernosa02213,0.002337029,0.60281991
Mcavernosa02218,0.052631579,0.02220489
Mcavernosa02232,0.10027656,-0.28420802
Mcavernosa02234,0.086180667,0.769972319
Mcavernosa25086,0.157148142,0.659779592
Mcavernosa02240,0,0.33259398
Mcavernosa02256,0.12082193,0.254147177
Mcavernosa02258,0.034365458,-0.229082433
Mcavernosa02266,0.044444444,1.233651032
Mcavernosa02267,0.043478261,0.19241587
Mcavernosa02272,0.047398122,0.154071102
Mcavernosa12965,0.157674571,-0.623902344
Mcavernosa02281,0.056266421,0.178736097
Mcavernosa06760,0.157754355,0.833104712
Mcavernosa02292,0.034722222,0.267211189
Mcavernosa02303,0.049586777,0.17896828
Mcavernosa02309,0.041666667,-0.010542074
Mcavernosa02315,0.060629703,-0.242771408
Mcavernosa02327,0.125606035,-0.265532021
Mcavernosa20053,0.157869295,-1.009409153
Mcavernosa02333,0.04109589,0.335704171
Mcavernosa02336,0.011281599,-0.257634925
Mcavernosa02352,0.053075896,0.026706041
Mcavernosa02357,0.058988764,0.850284627
Mcavernosa02368,0,-0.044990458
Mcavernosa02375,0.048648649,-0.544677976
Mcavernosa02393,0.117697901,-0.392291079
Mcavernosa02394,0.075371411,-0.125527506
Mcavernosa02400,0.044914135,0.061791402
Mcavernosa02402,0.035426731,-0.209117983
Mcavernosa15954,0.157915666,0.587078004
Mcavernosa02408,0.048258187,-0.042598253
Mcavernosa02410,0.041666667,0.329428688
Mcavernosa02444,0.032922685,0.437468652
Mcavernosa02448,0.037272597,0.490661893
Mcavernosa02481,0.11992222,-0.092414546
Mcavernosa02482,0,-0.567392508
Mcavernosa02488,0.045454545,-0.226152394
Mcavernosa02501,0.009135287,-0.237089437
Mcavernosa02504,0.020868016,-0.197586042
Mcavernosa02539,0.035052259,-0.052719662
Mcavernosa02543,0,-0.109736648
Mcavernosa21002,0.158118535,-1.063926082
Mcavernosa02562,0.025641026,0.650282196
Mcavernosa02567,0.044776119,-0.296216273
Mcavernosa02584,0.070595274,-0.08072601
Mcavernosa02587,0.080188679,-0.674067259
Mcavernosa25303,0.158819065,1.480768017
Mcavernosa31244,0.158878676,0.003014364
Mcavernosa12576,0.159002299,0.15531905
Mcavernosa02602,0.04529463,-0.289333238
Mcavernosa02603,0.129890575,-0.482042158
Mcavernosa02604,0.036035672,-0.48735161
Mcavernosa02639,0.053191489,0.097026892
Mcavernosa02641,0.120210385,-1.363628137
Mcavernosa02645,0,-0.443774312
Mcavernosa02655,0,0.205184088
Mcavernosa02659,0,0.113092556
Mcavernosa02660,0.035367825,0.20787214
Mcavernosa02662,0.134916971,1.313122626
Mcavernosa02664,0.105590114,-0.358677358
Mcavernosa02665,0.036378996,0.460676215
Mcavernosa02676,0,0.296138071
Mcavernosa02682,0,0.040923564
Mcavernosa13272,0.159248556,1.245572729
Mcavernosa02693,0,0.218411722
Mcavernosa02694,0.042372881,-0.846965663
Mcavernosa02695,0.045454545,-0.624359288
Mcavernosa02700,0.12305682,0.372024343
Mcavernosa02707,0.104406792,0.168919615
Mcavernosa02708,0.09631728,-0.225375737
Mcavernosa11894,0.159440775,0.708949982
Mcavernosa02722,0.100955724,0.1961689
Mcavernosa02727,0.113601292,-0.956799532
Mcavernosa02728,0.034482759,-0.897703275
Mcavernosa07832,0.159475534,-0.128272596
Mcavernosa02746,0.074649488,-0.82286032
Mcavernosa02747,0.036036036,0.176691225
Mcavernosa02750,0.035947184,0.465276819
Mcavernosa02752,0.043478261,-0.200082662
Mcavernosa02756,0.101928586,1.374528168
Mcavernosa02761,0.145027729,1.149268994
Mcavernosa28574,0.159703006,1.237590385
Mcavernosa02775,0.045454545,0.001936187
Mcavernosa02776,0.09166456,0.831001543
Mcavernosa02779,0.098558795,-0.161881503
Mcavernosa24674,0.159939847,-1.22916866
Mcavernosa18496,0.15995395,-1.179010778
Mcavernosa02793,0.033804684,-0.011305409
Mcavernosa02794,0,0.252610982
Mcavernosa02795,0.032987972,0.373204296
Mcavernosa02407,0.160772374,1.234177924
Mcavernosa02853,0,-0.655616312
Mcavernosa02856,0.035294118,0.953996977
Mcavernosa02860,0.035621281,-0.090099899
Mcavernosa02865,0.117687072,0.248607964
Mcavernosa02867,0,-0.191002044
Mcavernosa02884,0.038461538,0.055800141
Mcavernosa08244,0.160283047,-1.273208787
Mcavernosa02899,0.032906085,0.584394408
Mcavernosa02904,0.099289022,-0.633650333
Mcavernosa02910,0.041916168,0.205393786
Mcavernosa02932,0.160573531,-0.785156484
Mcavernosa02933,0.034129693,0.015817653
Mcavernosa02945,0.059371819,-0.624889669
Mcavernosa19042,0.161174242,0.181400362
Mcavernosa02966,0,-0.169113676
Mcavernosa02968,0.035016473,0.302091513
Mcavernosa02974,0.058823529,-0.548887288
Mcavernosa28752,0.16183803,1.241174222
Mcavernosa17064,0.16210219,-1.111230548
Mcavernosa03001,0.035537513,0.02032943
Mcavernosa32384,0.162256344,1.158608652
Mcavernosa03005,0.037037037,-0.156862729
Mcavernosa03007,0.04109589,0.167555295
Mcavernosa03016,0.01701085,0.882926751
Mcavernosa03019,0,-0.001349717
Mcavernosa03030,0,-0.402760641
Mcavernosa03031,0.043898179,0.730647032
Mcavernosa03034,0.011494642,0.801938276
Mcavernosa03041,0.03030303,0.144349692
Mcavernosa03043,0.042713568,-0.727065602
Mcavernosa03045,0.042105263,-0.690548475
Mcavernosa03052,0.036585366,0.54720797
Mcavernosa03063,0.035537513,0.30242213
Mcavernosa26723,0.162338697,-0.956806195
Mcavernosa03067,0.08649035,0.386741191
Mcavernosa03071,0.04,0.524717179
Mcavernosa03093,0.043956044,-0.487923539
Mcavernosa21914,0.162337639,0.585687053
Mcavernosa03116,0.042105263,0.533195063
Mcavernosa03119,0.03277592,-0.155516042
Mcavernosa03162,0,0.250083387
Mcavernosa03177,0.04,0.194469482
Mcavernosa17675,0.162492931,0.397323278
Mcavernosa03241,0,-0.509868953
Mcavernosa03244,0.032258065,-0.513345114
Mcavernosa03248,0.032258065,0.295554906
Mcavernosa22259,0.163088742,-0.652236627
Mcavernosa03268,0,0.509486678
Mcavernosa03278,0,-0.420479458
Mcavernosa11192,0.162639788,1.051653185
Mcavernosa03285,0.042138365,1.585800543
Mcavernosa03287,0.035536076,0.168133981
Mcavernosa03296,0.149511809,0.16393699
Mcavernosa03302,0.039370079,0.154949736
Mcavernosa03303,0,-0.136349778
Mcavernosa03316,0.035079702,-1.422293889
Mcavernosa03323,0.038615583,1.593917982
Mcavernosa03325,0,0.355484545
Mcavernosa03334,0.115372728,0.919371105
Mcavernosa03336,0.03125,-0.238903298
Mcavernosa03338,0,0.318988379
Mcavernosa03352,0,-0.395195348
Mcavernosa21709,0.163339958,0.820748543
Mcavernosa03375,0,0.456644707
Mcavernosa03382,0,0.638923022
Mcavernosa03393,0.037037037,0.434075322
Mcavernosa03411,0.039473684,-0.467236972
Mcavernosa03414,0.064265506,-0.257296266
Mcavernosa03423,0,-0.240367029
Mcavernosa03437,0.035726626,-0.063042211
Mcavernosa03441,0.045454545,0.236205173
Mcavernosa03455,0.045454545,-0.493363805
Mcavernosa03456,0.039215686,-0.539912231
Mcavernosa05563,0.16459998,-0.000654961
Mcavernosa03468,0.040709691,-1.134003455
Mcavernosa03474,0.035714286,0.424866745
Mcavernosa03250,0.163537978,0.359212784
Mcavernosa03486,0.100217004,0.519462717
Mcavernosa03490,0.042191719,-0.483421799
Mcavernosa03492,0.043635171,0.310320098
Mcavernosa03493,0.03125,0.172631945
Mcavernosa03494,0.029411765,0.089899381
Mcavernosa03495,0.030814559,0.113914065
Mcavernosa03503,0.038727364,-0.094049602
Mcavernosa03509,0,0.282091599
Mcavernosa03518,0,-0.189732198
Mcavernosa05809,0.163982645,0.770566002
Mcavernosa03529,0.038620355,0.166855722
Mcavernosa03545,0.094912827,-0.580145665
Mcavernosa03550,0.04185022,-0.815429048
Mcavernosa35164,0.165005115,0.185354066
Mcavernosa12985,0.165963105,-1.331910359
Mcavernosa03561,0.034482759,-0.306553518
Mcavernosa03564,0.052728715,-0.476987887
Mcavernosa31886,0.165064248,0.026788191
Mcavernosa03573,0,-0.52097134
Mcavernosa03577,0.095934022,-0.304409465
Mcavernosa03580,0,0.212330633
Mcavernosa03599,0.043478261,0.328911287
Mcavernosa03605,0,0.334527271
Mcavernosa03606,0.017060168,-0.222746342
Mcavernosa03615,0.039215686,-0.162384009
Mcavernosa03620,0.058558559,-0.655250184
Mcavernosa03628,0.032258065,1.032800971
Mcavernosa03642,0.055555556,0.132786417
Mcavernosa03660,0.112636521,-0.490442119
Mcavernosa03669,0.03862893,0.517433693
Mcavernosa03672,0,-0.701487378
Mcavernosa03673,0.056537925,-0.156687863
Mcavernosa03677,0.026236854,0.213488104
Mcavernosa03684,0,-0.724875304
Mcavernosa03698,0,-0.277485774
Mcavernosa03715,0.108100382,0.580220382
Mcavernosa03719,0.041169284,-0.027062312
Mcavernosa03722,0.035087719,-0.237451142
Mcavernosa16568,0.166582465,0.262143805
Mcavernosa03737,0.034531643,0.537674673
Mcavernosa03755,0.028314239,0.121230625
Mcavernosa03757,0,-0.268876422
Mcavernosa03758,0.036585366,-0.201972375
Mcavernosa03761,0.036292574,-0.312578059
Mcavernosa03766,0.035719107,-0.69941764
Mcavernosa03776,0.037120869,-0.055723568
Mcavernosa03796,0.0364759,0.850083457
Mcavernosa03803,0.066684454,0.847101671
Mcavernosa03808,0.043333333,-0.02745735
Mcavernosa03819,0.094515399,-0.334939976
Mcavernosa27221,0.166121676,-0.626024348
Mcavernosa03829,0.064150943,0.955688857
Mcavernosa03862,0.100242046,0.328605183
Mcavernosa03919,0.047189863,-0.257655844
Mcavernosa03931,0.038461538,0.384322603
Mcavernosa03936,0.033675716,0.189892985
Mcavernosa03938,0.036144578,0.445037003
Mcavernosa03941,0.035361765,-0.281765774
Mcavernosa03958,0,-0.12783972
Mcavernosa16682,0.166838622,0.031465884
Mcavernosa31433,0.166684532,-1.482315116
Mcavernosa19715,0.166699203,-0.991884187
Mcavernosa01384,0.167334864,0.060649997
Mcavernosa04000,0.035294118,-0.88023185
Mcavernosa04007,0,1.647027686
Mcavernosa01042,0.167019089,-0.841044457
Mcavernosa21028,0.167026768,-0.629363256
Mcavernosa04023,0.104326135,-0.006525691
Mcavernosa04030,0.13161727,0.319297589
Mcavernosa04049,0.03538619,2.539021325
Mcavernosa00257,0.167141466,-0.214821753
Mcavernosa04085,0.040816327,0.710346768
Mcavernosa04094,0.03581401,-0.239711038
Mcavernosa04102,0.00380038,0.476617997
Mcavernosa04107,0.042857143,0.464681946
Mcavernosa04110,0.035236646,-0.207461588
Mcavernosa04116,0,0.364785626
Mcavernosa04126,0.03125,-0.403436943
Mcavernosa04127,0,-0.299399926
Mcavernosa04131,0.083810356,0.22259177
Mcavernosa04134,0.121713845,1.07730044
Mcavernosa04145,0,-0.064536548
Mcavernosa04156,0.050912378,-0.126394573
Mcavernosa04173,0,-0.850616844
Mcavernosa04183,0.04,-0.2442517
Mcavernosa10817,0.167475773,-0.705815861
Mcavernosa04188,0.03030303,-0.088249494
Mcavernosa04203,0,0.535363392
Mcavernosa04216,0.043478261,0.718940463
Mcavernosa04218,0.055555556,-0.575268913
Mcavernosa04219,0.038461538,-0.274263697
Mcavernosa04225,0,1.013099571
Mcavernosa04227,0,-0.412783831
Mcavernosa04260,0.098552419,1.0197071
Mcavernosa04265,0,0.090376323
Mcavernosa04266,0.037234043,0.273148379
Mcavernosa04290,0.039425313,-0.872518682
Mcavernosa04298,0.034671945,0.199008574
Mcavernosa04302,0.034221173,-0.001853906
Mcavernosa04310,0.04445699,-0.583358019
Mcavernosa13692,0.167976649,-1.35854022
Mcavernosa04327,0.133008721,0.304361502
Mcavernosa04331,0.032258065,0.584281398
Mcavernosa04336,0.066666667,-0.022668433
Mcavernosa04337,0,-0.498864023
Mcavernosa04339,0.099281988,0.191924812
Mcavernosa04348,0.060451271,1.03829502
Mcavernosa04351,0.035612227,-0.581165917
Mcavernosa01792,0.168106831,0.397323278
Mcavernosa04365,0.041339013,-0.527313885
Mcavernosa04402,0.16937305,-1.066561451
Mcavernosa04377,0.045454545,0.824326466
Mcavernosa04380,0.034582133,-2.053203899
Mcavernosa04397,0.038461538,0.27313105
Mcavernosa04399,0.032098928,0.552762003
Mcavernosa04400,0.042857143,-0.602887419
Mcavernosa22163,0.169474844,-1.022022982
Mcavernosa04405,0.04,0.086279153
Mcavernosa04410,0,0.177238989
Mcavernosa09621,0.169856188,0.268458356
Mcavernosa04413,0,0.159705612
Mcavernosa04418,0,-0.255836445
Mcavernosa08679,0.170734346,0.484602237
Mcavernosa04439,0.038615075,-0.030022575
Mcavernosa04443,0.052287582,-1.927535835
Mcavernosa04452,0.038660574,0.088910643
Mcavernosa04462,0.107220699,0.213410237
Mcavernosa04474,0.110338739,-0.324934155
Mcavernosa04480,0.040816327,-0.845652942
Mcavernosa04483,0,0.140332093
Mcavernosa04485,0.035039598,-0.601694018
Mcavernosa04491,0.122660211,0.004129689
Mcavernosa04492,0.047204067,-0.42579976
Mcavernosa07171,0.171357769,-0.863757385
Mcavernosa04496,0.041237113,-0.309930441
Mcavernosa04498,0,-0.006768619
Mcavernosa04499,0.033333333,0.439658659
Mcavernosa04518,0.033477778,0.264407765
Mcavernosa02595,0.17164537,-0.295613346
Mcavernosa04546,0.038961039,-0.333786073
Mcavernosa04552,0,0.077605011
Mcavernosa04558,0,0.451606223
Mcavernosa04560,0.025641026,0.226057334
Mcavernosa16416,0.171875215,0.123375284
Mcavernosa04569,0.070069569,-0.080665169
Mcavernosa04572,0.04,0.614463798
Mcavernosa04576,0,-0.402544658
Mcavernosa04579,0,0.089374498
Mcavernosa04580,0.066666667,-0.274525207
Mcavernosa04601,0.050029368,0.211105925
Mcavernosa04605,0.037198512,1.697389038
Mcavernosa04636,0.04379562,0.138715667
Mcavernosa27316,0.171965567,-1.217631537
Mcavernosa04644,0.099711176,0.285503177
Mcavernosa05333,0.172599475,1.180176463
Mcavernosa04661,0.042553191,-0.836483744
Mcavernosa04669,0.107081032,0.276023685
Mcavernosa04672,0.043478261,0.439169182
Mcavernosa04674,0.051020408,0.523266901
Mcavernosa04683,0.035087719,-0.327790764
Mcavernosa04687,0.038216561,-0.37078013
Mcavernosa34812,0.173382731,-0.784573031
Mcavernosa04701,0,0.533868001
Mcavernosa04711,0,0.513579398
Mcavernosa04712,0.038461538,0.180860202
Mcavernosa04719,0.113423011,-0.655608819
Mcavernosa04721,0,0.277039728
Mcavernosa04726,0.043478261,0.264765337
Mcavernosa14467,0.175534492,0.08912415
Mcavernosa04737,0.039473684,-0.521499248
Mcavernosa04749,0,-0.184599871
Mcavernosa04750,0.125903848,-0.388788339
Mcavernosa04757,0,0.375420671
Mcavernosa04797,0.051338151,-1.111079077
Mcavernosa04799,0.038587665,0.125167117
